id,menu
1701446020-1,mie suit
1701446020-1,udang rambutan
1701446020-1,siomay
1701446020-1,air mineral
1701446020-2,mie hompimpa lv 1
1701446020-2,udang keju
1701446020-2,siomay
1701446020-3,mie gacoan lv 0
1701446020-3,mie gacoan lv 2
1701446020-3,siomay
1701446020-3,udang rambutan
1701446020-3,udang keju
1701446020-3,lumpia udang
1701446020-4,es teklek
1701446020-4,lumpia udang
1701446020-4,siomay
1701446020-5,gacoan fest b
1701446020-5,udang rambutan
1701446020-6,mie gacoan lv 0
1701446020-6,mie gacoan lv 3
1701446020-6,udang keju
1701446020-7,mie hompimpa lv 8
1701446020-7,mie gacoan lv 6
1701446020-8,mie gacoan lv 2
1701446020-8,udang rambutan
1701446020-8,udang keju
1701446020-8,thai green tea
1701446020-9,mie gacoan lv 3
1701446020-9,siomay
1701446020-9,udang rambutan
1701446020-9,pangsit
1701446020-9,lumpia udang
1701446020-9,teh
1701446020-10,mie gacoan lv 1
1701446020-10,mie gacoan lv 2
1701446020-11,gacoan fest a
1701446020-12,mie gacoan lv 3
1701446020-12,lumpia udang
1701446020-12,udang keju
1701446020-13,mie gacoan lv 1
1701446020-14,mie gacoan lv 1
1701446020-14,udang keju
1701446020-14,milo
1701446020-14,air mineral
1701446020-15,mie hompimpa lv 1
1701446020-15,udang keju
1701446020-15,lumpia udang
1701446020-16,mie gacoan lv 0
1701446020-16,thai green tea
1701446020-17,mie gacoan lv 4
1701446020-17,mie gacoan lv 1
1701446020-18,pangsit
1701446020-18,mie gacoan lv 8
1701446020-19,mie gacoan lv 2
1701446020-19,mie gacoan lv 3
1701446020-19,thai tea ori
1701446020-19,es coklat
1701446020-19,udang rambutan
1701446020-20,mie suit
1701446020-20,mie hompimpa lv 1
1701446020-20,udang rambutan
1701446020-21,udang keju
1701446020-21,mie gacoan lv 2
1701446020-21,lemon tea
1701446020-22,mie gacoan lv 0
1701446020-22,udang rambutan
1701446020-22,udang keju
1701446020-23,mie hompimpa lv 6
1701446020-23,siomay
1701446020-23,mie gacoan lv 3
1701446020-23,lumpia udang
1701446020-24,mie gacoan lv 0
1701446020-24,mie suit
1701446020-25,mie gacoan lv 2
1701446020-26,mie gacoan lv 1
1701446020-26,udang rambutan
1701446020-26,udang keju
1701446020-27,mie gacoan lv 8
1701446020-27,pangsit
1701446020-27,mie gacoan lv 2
1701446020-28,udang keju
1701446020-28,mie gacoan lv 1
1701446020-29,pangsit
1701446020-29,mie hompimpa lv 2
1701446020-29,udang rambutan
1701446020-30,mie hompimpa lv 1
1701446020-30,mie gacoan lv 1
1701446020-30,udang keju
1701446020-31,udang keju
1701446020-31,mie gacoan lv 0
1701446020-31,mie gacoan lv 2
1701446020-31,mie gacoan lv 3
1701446020-31,es gobak sodor
1701446020-31,thai green tea
1701446020-31,es teklek
